,mzp,mdh,mdm,gq,gx,exp,obs
73,1364.0,75.0,649.0,0.25,2.8326700823328603,,
74,1369.0,82.0,681.0,0.25,0.2025337979737346,1.0195773518e+53,
75,1374.0,64.0,754.0,0.25,1.6559290346156186,2.75091885004,3.63180623677
76,1379.0,68.0,714.0,0.25,0.2682124185385667,,
77,137.0,159.0,1183.0,0.25,0.1859687079474248,,
78,1389.0,158.0,809.0,0.25,0.167154407470512,,
79,1394.0,167.0,842.0,0.25,2.0279329865120164,,
80,1399.0,94.0,717.0,0.25,0.37067139659052095,1.12010436359e+36,
81,1404.0,153.0,710.0,0.25,2.13142743792939,1.91323285357,2.21051231075
82,1409.0,109.0,1191.0,0.25,0.590557226394444,9.76374389633e+51,
83,1414.0,55.0,421.0,0.25,0.12986406746423818,1.2702464878e+31,
84,1419.0,87.0,1072.0,0.25,0.13795522631951734,,
85,1424.0,58.0,582.0,0.25,0.14294824850148255,6.7118439725e+39,
86,1429.0,101.0,292.0,0.25,0.3564546839288207,3.59519608943,3.54357398383
87,142.0,127.0,422.0,0.25,0.2061663807831257,2.05950577959e+25,
88,1434.0,113.0,744.0,0.25,2.914395851693924,0.214147891362,0.22537545582
89,1438.0,161.0,203.0,0.25,0.9442325553558787,1.27081143959,1.06305280131
90,1443.0,101.0,981.0,0.25,2.7926706678181765,2.15813323977,2.48434389713
91,1448.0,141.0,554.0,0.25,0.18334269107297718,1.57005379519e+30,
92,1453.0,88.0,196.0,0.25,0.9818919929521547,,
93,1458.0,156.0,761.0,0.25,1.342584739291527,33.6286378058,36.664045709
94,1468.0,70.0,701.0,0.25,0.2720540242927788,2.37555308128e+29,
95,1473.0,78.0,866.0,0.25,0.12622240676817886,,
96,1478.0,87.0,526.0,0.25,0.17568504128248594,1.26997725837e+20,
97,147.0,150.0,231.0,0.25,0.2310085342094124,,
98,1483.0,68.0,657.0,0.25,2.863045169636015,0.0154437601898,0.0181503913614
99,1488.0,61.0,829.0,0.25,0.6141108021404623,2.52834345393e+21,
100,1493.0,94.0,832.0,0.25,0.2819004927030485,3.65180891431e+61,
101,1498.0,59.0,1141.0,0.25,0.1369777480207584,,
102,1503.0,97.0,1182.0,0.25,2.0790363175600857,20.1508019459,22.8278397336
103,1508.0,148.0,835.0,0.25,0.30483535258717875,2.6990070248e+67,
104,1513.0,66.0,656.0,0.25,3.052259292776062,0.0114848400612,0.0131269404788
105,1518.0,83.0,1130.0,0.25,0.8249058515440748,2.52485968956e+29,
106,151.0,165.0,440.0,0.25,2.70472497428614,,
107,1523.0,57.0,1093.0,0.25,0.2644250591231439,,
108,1528.0,65.0,478.0,0.25,1.2910913096984775,0.0708864553178,0.0934819156507
109,1533.0,60.0,564.0,0.25,1.797029828946499,0.0337846623093,0.0591743496575
110,1537.0,105.0,638.0,0.25,3.23092229625512,0.00866672742591,0.00981486590646
111,1542.0,108.0,1176.0,0.25,0.331988442558832,6.38862400394e+76,
112,1547.0,151.0,1014.0,0.25,2.5733932561768205,11.1749227817,13.7211595952
113,1552.0,153.0,1155.0,0.25,0.26069118004774333,,
114,1557.0,74.0,915.0,0.25,3.371749718239384,0.506713418137,0.818201589265
115,1562.0,100.0,823.0,0.25,0.5251794725622542,1.03393982265e+27,
116,1567.0,117.0,381.0,0.25,0.1064194942822868,2.12345047661e+35,
117,156.0,157.0,748.0,0.25,2.0864411709169177,0.712307335803,0.745467237244
118,1572.0,143.0,1161.0,0.25,0.18530869843912653,,
119,1577.0,66.0,720.0,0.25,1.2548864027572448,0.581519237567,0.75305906507
120,1582.0,121.0,303.0,0.25,0.5403315005783234,0.939061645047,0.789438906793
121,1587.0,67.0,1171.0,0.25,0.6593683508589644,,
